name,car_type,version,kms_driven,ownership_status,oil_type,down_payment,original_price,reduced_price,City
2016 Maruti Ciaz,VXI+,Manual,"76,073 km",2nd Owner,Petrol,"₹10,557/month","₹5,70,000","₹5,40,000",Hyderabad
2017 Maruti Alto 800,LXI,Manual,"88,837 km",1st Owner,Petrol,"₹6,119/month",N/A,"₹3,13,000",Hyderabad
2018 Hyundai NEW SANTRO,SPORTZ MT,Manual,"1,04,192 km",1st Owner,Petrol,"₹10,205/month","₹5,43,000","₹5,22,000",Hyderabad
2017 Maruti Dzire,VDI AMT,Automatic,"1,09,888 km",1st Owner,Diesel,"₹12,923/month","₹7,17,000","₹6,61,000",Hyderabad
2014 Honda City,1.5L I-DTEC VX,Manual,"98,940 km",2nd Owner,Diesel,"₹11,026/month","₹6,00,000","₹5,64,000",Hyderabad
2020 Renault Kwid,RXT 0.8,Manual,"66,696 km",1st Owner,Petrol,"₹8,974/month","₹5,00,000","₹4,59,000",Hyderabad
2016 Hyundai Elite i20,SPORTZ 1.2,Manual,"88,048 km",1st Owner,Petrol,"₹10,772/month","₹5,96,000","₹5,51,000",Hyderabad
2012 Maruti Swift Dzire,ZXI,Manual,"6,341 km",1st Owner,Petrol,"₹9,658/month","₹5,31,000","₹4,94,000",Hyderabad
2016 Maruti Swift Dzire,VXI,Manual,"36,678 km",1st Owner,Petrol,"₹9,971/month","₹5,51,000","₹5,10,000",Hyderabad
2013 Hyundai i10,SPORTZ 1.2 AT,Automatic,"86,221 km",2nd Owner,Petrol,"₹6,237/month","₹3,40,000","₹3,19,000",Hyderabad
2013 Maruti A Star,VXI (ABS) AT,Automatic,"38,284 km",1st Owner,Petrol,"₹6,334/month","₹3,43,000","₹3,24,000",Hyderabad
2019 Volkswagen Polo,GT TSI AT,Automatic,"91,737 km",1st Owner,Petrol,"₹15,151/month","₹7,90,000","₹7,75,000",Hyderabad
2019 Maruti Dzire,VXI AMT,Automatic,"52,640 km",1st Owner,Petrol,"₹13,157/month","₹6,86,000","₹6,73,000",Hyderabad
2021 Hyundai Creta,SX (O) 1.5 DIESEL,Manual,"29,714 km",1st Owner,Diesel,"₹34,261/month",N/A,"₹18,00,000",Hyderabad
2010 Hyundai i10,SPORTZ 1.2,Manual,"83,462 km",2nd Owner,Petrol,"₹5,024/month","₹2,84,000","₹2,57,000",Hyderabad
2016 Honda Amaze,1.2L I-VTEC SX,Manual,"58,019 km",1st Owner,Petrol,"₹9,110/month","₹5,04,000","₹4,66,000",Hyderabad
2022 Renault TRIBER,RXL MT,Manual,"39,316 km",1st Owner,Petrol,"₹12,356/month","₹6,94,000","₹6,32,000",Hyderabad
2017 Hyundai Elite i20,SPORTZ 1.2,Manual,"64,262 km",1st Owner,Petrol,"₹11,378/month","₹6,29,000","₹5,82,000",Hyderabad
2016 Honda City,1.5L I-VTEC SV,Manual,"53,326 km",2nd Owner,Petrol,"₹11,496/month","₹6,93,000","₹5,88,000",Hyderabad
2017 Maruti Baleno,ALPHA PETROL 1.2,Manual,"65,664 km",1st Owner,Petrol,"₹12,082/month","₹6,55,000","₹6,18,000",Hyderabad
2020 Mahindra XUV 3OO,W8 (O) 1.5 DIESEL,Manual,"89,422 km",1st Owner,Diesel,"₹21,052/month","₹11,40,000","₹11,06,000",Hyderabad
2015 Hyundai Elite i20,ASTA 1.4 CRDI,Manual,"78,382 km",1st Owner,Diesel,"₹11,554/month","₹6,14,000","₹5,91,000",Hyderabad
2013 Maruti Swift Dzire,VXI,Manual,"83,255 km",1st Owner,Petrol,"₹8,270/month","₹4,36,000","₹4,23,000",Hyderabad
2017 Renault Kwid,RXL,Manual,"28,009 km",2nd Owner,Petrol,"₹6,178/month","₹3,26,000","₹3,16,000",Hyderabad
2017 Honda City,1.5L I-VTEC V MT,Manual,"53,456 km",1st Owner,Petrol,"₹13,626/month","₹7,71,000","₹6,97,000",Hyderabad
